ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDER DATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESS,POSTALCODE,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10100,30,100,3,5151,06-01-2003,Shipped,1,1,2003,Vintage Cars,170,S18_1749,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue  Nashua NH USA,62005,NA,Young,Valarie,Medium
10101,25,100,4,3782,09-01-2003,Shipped,1,1,2003,Vintage Cars,127,S18_2325,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34  Frankfurt  Germany,60528,EMEA,Keitel,Roland,Medium
10102,39,100,2,4808.31,10-01-2003,Shipped,1,1,2003,Vintage Cars,102,S18_1342,Vitachrome Inc.,2125551500,2678 Kingston Rd. Suite 101 NYC NY USA,10022,NA,Frick,Michael,Medium
10103,26,100,11,5404.62,29-01-2003,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78  Stavern  Norway,4110,EMEA,Bergulfsen,Jonas,Medium
10104,34,100,1,5958.5,31-01-2003,Shipped,1,1,2003,Classic Cars,151,S12_3148,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86  Madrid  Spain",28034,EMEA,Freyre,Diego,Medium
10105,50,100,2,7208,11-02-2003,Shipped,1,2,2003,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34  Kobenhavn  Denmark,1734,EMEA,Petersen,Jytte,Large
10106,36,100,12,5279.4,17-02-2003,Shipped,1,2,2003,Planes,157,S18_1662,Rovelli Gifts,035-640555,Via Ludovico il Moro 22  Bergamo  Italy,24100,EMEA,Rovelli,Giovanni,Medium
10107,30,95.7,2,2871,24-02-2003,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue  NYC NY USA,10022,NA,Yu,Kwai,Small
10108,33,100,6,5265.15,03-03-2003,Shipped,1,3,2003,Classic Cars,194,S12_1099,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03  Makati City  Philippines,1227 MM,Japan,Cruz,Arnold,Medium
10109,26,100,4,4379.18,10-03-2003,Shipped,1,3,2003,Classic Cars,141,S18_1129,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.  Philadelphia PA USA,71270,NA,Hernandez,Rosa,Medium
10110,37,100,16,5433.08,18-03-2003,Shipped,1,3,2003,Classic Cars,124,S18_1589,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus  Manchester  UK,EC2 5NT,EMEA,Ashworth,Victoria,Medium
10112,29,100,1,7209.11,24-03-2003,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8  Lule  Sweden,S-958 22,EMEA,Berglund,Christina,Large
10111,33,99.66,6,3288.78,25-03-2003,Shipped,1,3,2003,Vintage Cars,102,S18_1342,Mini Wheels Co.,6505555787,5557 North Pendale Street  San Francisco CA USA,25712,NA,Murphy,Julie,Medium
10113,21,100,2,3415.44,26-03-2003,Shipped,1,3,2003,Trucks and Buses,136,S12_1666,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.  San Rafael CA USA,97562,NA,Nelson,Valarie,Medium
10114,31,100,8,4305.28,01-04-2003,Shipped,2,4,2003,Classic Cars,147,S10_4962,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne  Paris  France",75012,EMEA,Bertrand,Marie,Medium
10115,46,100,5,5723.78,04-04-2003,Shipped,2,4,2003,Trucks and Buses,118,S12_4473,Classic Legends Inc.,2125558493,5905 Pompton St. Suite 750 NYC NY USA,10022,NA,Hernandez,Maria,Medium
10116,27,63.38,1,1711.26,11-04-2003,Shipped,2,4,2003,Trains,62,S32_3207,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255  Charleroi  Belgium",B-6000,EMEA,Cartrain,Pascale,Small
10117,33,100,9,6034.38,16-04-2003,Shipped,2,4,2003,Classic Cars,207,S12_1108,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye  Singapore  Singapore",79903,Japan,Natividad,Eric,Medium
10118,36,100,1,4219.2,21-04-2003,Shipped,2,4,2003,Ships,100,S700_3505,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23  Barcelona  Spain",8022,EMEA,Saavedra,Eduardo,Medium
10119,46,100,11,5004.8,28-04-2003,Shipped,2,4,2003,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14  Salzburg  Austria,5020,EMEA,Pipps,Georg,Medium
10120,29,96.34,3,2793.86,29-04-2003,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road Level 3 Melbourne Victoria Australia,3004,APAC,Ferguson,Peter,Small
10121,34,81.35,5,2765.9,07-05-2003,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye  Reims  France,51100,EMEA,Henriot,Paul,Small
10122,42,100,10,7599.9,08-05-2003,Shipped,2,5,2003,Classic Cars,194,S12_1099,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers  Marseille  France",13008,EMEA,Lebihan,Laurence,Large
10123,26,100,2,3073.72,20-05-2003,Shipped,2,5,2003,Classic Cars,124,S18_1589,Atelier graphique,40.32.2555,"54, rue Royale  Nantes  France",44000,EMEA,Schmitt,Carine,Medium
10125,32,100,1,3254.72,21-05-2003,Shipped,2,5,2003,Vintage Cars,102,S18_1342,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road Level 3 Melbourne Victoria Australia,3004,APAC,Ferguson,Peter,Medium
